DATE,OPEN,HIGH,LOW,CLOSE,VOL
09/23 09:40,20560,20570,20530,20530,51520
09/23 09:35,20520,20570,20520,20560,89768
09/23 09:30,20520,20540,20510,20530,69046
09/23 09:25,20530,20550,20500,20530,94425
09/23 09:20,20500,20560,20500,20530,97373
09/23 09:15,20530,20560,20490,20500,137016
09/23 09:10,20500,20540,20470,20530,207317
09/23 09:05,20510,20550,20480,20510,499462
09/18 15:01,20750,20750,20750,20750,67210
09/18 15:00,20720,20760,20720,20740,162490
09/18 14:55,20720,20730,20700,20710,133316
09/18 14:50,20720,20730,20700,20720,49426
09/18 14:45,20720,20730,20710,20720,10232
09/18 14:40,20720,20730,20710,20720,16327
09/18 14:35,20740,20740,20720,20720,77287
09/18 14:30,20730,20740,20720,20730,9603
09/18 14:25,20730,20730,20720,20730,22699
09/18 14:20,20710,20730,20700,20720,29290
09/18 14:15,20730,20730,20720,20720,26702
09/18 14:10,20740,20740,20720,20720,30581
09/18 14:05,20730,20740,20730,20740,20717
09/18 14:00,20740,20740,20720,20720,13129
09/18 13:55,20730,20730,20720,20730,13656
09/18 13:50,20750,20750,20740,20740,15689
09/18 13:45,20740,20750,20730,20750,16350
09/18 13:40,20730,20740,20720,20740,30656
09/18 13:35,20710,20730,20710,20730,20067
09/18 13:30,20720,20720,20700,20700,16662
09/18 13:25,20710,20730,20710,20720,17949
09/18 13:20,20710,20710,20700,20710,16431
09/18 13:15,20710,20710,20700,20700,8224
09/18 13:10,20700,20710,20700,20710,17037
09/18 13:05,20690,20700,20680,20700,29626
09/18 13:00,20700,20700,20690,20700,11308
09/18 12:55,20700,20710,20700,20700,12449
09/18 12:50,20690,20710,20690,20700,12454
09/18 12:45,20700,20700,20690,20690,99892
09/18 12:40,20700,20720,20700,20700,25710
09/18 12:35,20730,20740,20710,20710,72338
09/18 11:35,20730,20730,20730,20730,21809
09/18 11:30,20750,20750,20730,20740,30709
09/18 11:25,20740,20760,20740,20750,23166
09/18 11:20,20700,20750,20700,20750,126743
09/18 11:15,20700,20700,20690,20700,36830
09/18 11:10,20690,20720,20690,20700,26084
09/18 11:05,20700,20710,20690,20690,12305
09/18 11:00,20690,20710,20680,20700,43816
09/18 10:55,20650,20690,20650,20690,101382
09/18 10:50,20690,20690,20650,20650,62199
09/18 10:45,20670,20690,20650,20690,87410
09/18 10:40,20650,20680,20640,20670,36401
09/18 10:35,20670,20680,20640,20650,73339
09/18 10:30,20700,20700,20670,20670,36571
09/18 10:25,20690,20700,20670,20700,58474
09/18 10:20,20690,20700,20650,20680,120694
09/18 10:15,20730,20730,20670,20700,172198
09/18 10:10,20750,20760,20720,20720,65910
09/18 10:05,20720,20770,20720,20750,83110
09/18 10:00,20740,20740,20700,20720,70219
09/18 09:55,20740,20750,20710,20740,65440
09/18 09:50,20750,20760,20730,20740,88566
09/18 09:45,20780,20780,20740,20750,68677
09/18 09:40,20790,20800,20780,20780,50402
09/18 09:35,20740,20810,20740,20790,138275
09/18 09:30,20750,20770,20730,20740,189212
